code,product_id,process_name,num,process_num
SCDD2023091534,13.01.02.026,测试,50,0
SCDD2023091534,13.01.02.026,包装,50,0
SCDD2023091535,13.01.02.023,测试,100,0
SCDD2023091535,13.01.02.023,包装,100,0
SCDD2023091549,13.01.02.026,测试,390,271
SCDD2023091549,13.01.02.026,包装,390,0
SCDD2023091551,13.01.02.026,测试,710,196
SCDD2023091551,13.01.02.026,包装,710,0
SCDD2023091555,13.01.04.042,组装,1500,650
SCDD2023091555,13.01.04.042,测试,1500,0
SCDD2023091555,13.01.04.042,包装,1500,0
FGDD2023100600,13.01.02.023,测试,130,0
FGDD2023100600,13.01.02.023,包装,130,0
SCDD2023091557,13.01.07.002,组装,3000,0
SCDD2023091557,13.01.07.002,测试,3000,0
SCDD2023091557,13.01.07.002,包装,3000,0
SCDD2023091556,13.01.02.024,组装,200,0
SCDD2023091556,13.01.02.024,测试,200,0
SCDD2023091556,13.01.02.024,包装,200,0
