物料编码,物料名称,现有库存,安全库存,最小批量,阶梯数量
13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,906,531,800,100
13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,649,320,1500,300
13.01.04.035,TFmini-S-I²C(单品包装)-V1.0,102,100,200,100
13.01.04.036,TFmini-S-I²C(整箱包装)-V1.0,0,0,200,100
13.01.04.053,TFmini-S-A-I²C(整箱包装)-V1.0,131,0,300,300
13.01.04.033,TFmini-S-R(整箱包装)-V1.0,10092,0,900,100
13.01.04.059,TFmini-S-LH-I²C(单品包装)-V1.0,603,0,100,100
13.01.04.060,TFmini-S-LH (单品包装)-V1.0,25,0,100,100
13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,949,472,900,100
13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,1327,1145,2100,300
13.01.08.007,TFmini Plus-2400-I²C(单品包装)-V1.0,89,100,100,100
13.01.08.008,TFmini Plus-2400-I²C(整箱包装)-V1.0,199,0,100,100
13.01.08.009,TFmini Plus-I²C-KIWI,4024,0,100,100
13.01.08.010,TFmini Plus-ABB,5,0,100,50
13.01.07.001,TF-luna(标品/单品包装)-V1.0,1465,900,1500,100
13.01.07.002,TF-luna(标品/整箱包装)-V1.0,1315,1761,3000,300
13.01.07.010,TF-Luna-OW,26,0,1000,100
13.01.07.011,TF-Luna-OW,174,0,1000,100
13.01.07.005,MCC-0100D,740,0,1000,100
13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,77,0,100,100
13.01.07.006,TF-Luna-N(整箱包装),200,0,100,100
13.01.07.007,TF-Luna-N(单品包装),0,0,100,100
13.01.07.008,TF-Luna-ASU,155,0,500,100
13.01.07.009,TF-Luna-M-ASU,123,0,500,100
13.01.09.001,TF350-UART(单品包装)-V1.0,12,4,20,5
13.01.09.002,TF350-485(单品包装)-V1.0,56,20,50,10
13.01.09.003,TF350-232(单品包装)-V1.0,7,5,20,5
13.01.09.004,TF350-4~20mA(单品包装)-V1.0,1,0,1,1
13.01.05.006,TF03-485(单品包装)-V1.1,118,32,120,60
13.01.05.018,TF03-485(整箱包装)-V1.1,40,37,120,60
13.01.05.005,TF03-UART(单品包装)-V1.1,43,47,120,60
13.01.05.015,TF03-232(整箱包装)-V1.0,0,0,120,60
13.01.05.017,TF03-UART(整箱包装)-V1.1,74,37,120,60
13.01.05.016,TF03-232(单品包装)-V1.0,263,8,120,120
13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,53,3,30,10
13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,36,11,60,10
13.01.05.032,TF03-UART-无LOGO,13,0,40,10
13.01.05.033,TF03-485-无LOGO,18,0,100,100
13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,81,0,100,100
13.01.02.030,TF02-Pro-W-485(整箱包装)-V1.0,2,0,100,50
13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,0,0,100,100
13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,89,122,300,100
13.01.02.024,TF02-Pro标品(单品包装)-V1.0,23,167,400,100
13.01.02.031,TF02-Pro-I²C(单品包装)-V1.0,4,0,200,100
13.01.02.039,TF02-Pro-Breezer,1,0,100,50
13.01.02.040,TF02-Pro-SY,30,70,100,50
13.01.06.004,S2R继电器板,277,30,200,100
13.01.04.048,TFmini-i-485(单品包装)-V1.0,67,30,100,10
13.01.04.046,TFmini-i-485(整箱包装)-V1.0,99,46,100,10
13.01.04.051,TFmini-i-485(整箱) 2m散线,156,30,100,10
13.01.04.049,TFmini-i-CAN(单品包装)-V1.0,0,0,100,10
13.01.04.047,TFmini-i-CAN(整箱包装)-V1.0,0,0,100,10
13.01.04.050,TFmini-i-CAN(整箱) 2m散线,67,0,100,10
13.01.04.054,TFmini-i-CAN(单品包装)-V1.1,90,0,100,10
13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,0,0,100,10
13.01.04.056,TFmini-i-CAN-2m散线-V1.1,0,0,100,10
13.01.02.035,TF02-i-485(单品包装)-V1.0,86,25,100,10
13.01.02.033,TF02-i-485(整箱包装)-V1.0,0,0,100,10
13.01.02.036,TF02-i-CAN(单品包装)-V1.0,36,28,100,10
13.01.02.034,TF02-i-CAN(整箱包装)-V1.0,0,0,100,10
13.01.02.037,TF02-Pro-W(单品包装)-V1.0,53,0,100,10
13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,28,20,100,10
13.01.05.021,TF03-V3-MT,6,0,50,10
13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),1,0,30,10
13.01.08.011,TFmini Plus-YE,0,0,1500,300
13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,0,0,1000,100
13.01.04.061,TFmini-S-05,0,0,1000,100
DZ.01.02.023.HNHL,TF02-Pro标品(整箱包装)-V1.0-HNHL,0,0,200,50
DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,0,0,100,10
DZ.01.02.023.ZM02 ,TF02-Pro标品(整箱包装)-V1.0-泽牧标品尾线定制,0,0,100,10
DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,0,0,30,10
DZ.01.02.023.F,TF02-Pro标品(整箱包装)-V1.0-软件定制,0,0,300,10
